,Close
2022-01-03,144.3
2022-01-04,143.7
2022-01-05,142.92
2022-01-06,143.29
2022-01-07,142.26
2022-01-08,142.26
2022-01-09,142.26
2022-01-10,142.61
2022-01-11,143.56
2022-01-12,143.01
2022-01-13,144.28
2022-01-14,142.1
2022-01-15,142.1
2022-01-16,142.1
2022-01-17,142.1
2022-01-18,140.1
2022-01-19,141.07
2022-01-20,141.94
2022-01-21,143.63
2022-01-22,143.63
2022-01-23,143.63
2022-01-24,142.45
2022-01-25,142.22
2022-01-26,140.5
2022-01-27,143.08
2022-01-28,143.13
2022-01-29,143.13
2022-01-30,143.13
2022-01-31,142.39
2022-02-01,141.72
2022-02-02,142.2
2022-02-03,141.09
2022-02-04,139.01
2022-02-05,139.01
2022-02-06,139.01
2022-02-07,139.1
2022-02-08,138.17
2022-02-09,138.43
2022-02-10,136.23
2022-02-11,138.25
2022-02-12,138.25
2022-02-13,138.25
2022-02-14,136.53
2022-02-15,134.98
2022-02-16,135.78
2022-02-17,136.79
2022-02-18,138.23
2022-02-19,138.23
2022-02-20,138.23
2022-02-21,138.23
2022-02-22,138.59
2022-02-23,136.68
2022-02-24,136.77
2022-02-25,136.87
2022-02-26,136.87
2022-02-27,136.87
2022-02-28,139.87
2022-03-01,141.3
2022-03-02,136.47
2022-03-03,137.86
2022-03-04,140.24
2022-03-05,140.24
2022-03-06,140.24
2022-03-07,139.17
2022-03-08,137.77
2022-03-09,136.42
2022-03-10,134.46
2022-03-11,134.91
2022-03-12,134.91
2022-03-13,134.91
2022-03-14,131.76
2022-03-15,131.53
2022-03-16,132.82
2022-03-17,131.83
2022-03-18,133.44
2022-03-19,133.44
2022-03-20,133.44
2022-03-21,130.35
2022-03-22,128.68
2022-03-23,131.5
2022-03-24,130.47
2022-03-25,128.66
2022-03-26,128.66
2022-03-27,128.66
2022-03-28,129.76
2022-03-29,130.74
2022-03-30,131.76
2022-03-31,132.08
2022-04-01,132.38
2022-04-02,132.38
2022-04-03,132.38
2022-04-04,131.46
2022-04-05,128.49
2022-04-06,127.45
2022-04-07,126.49
2022-04-08,125.12
2022-04-09,125.12
2022-04-10,125.12
2022-04-11,123.14
2022-04-12,122.97
2022-04-13,123.22
2022-04-14,120.75
2022-04-15,120.75
2022-04-16,120.75
2022-04-17,120.75
2022-04-18,120.15
2022-04-19,119.25
2022-04-20,121.65
2022-04-21,120.75
2022-04-22,119.99
2022-04-23,119.99
2022-04-24,119.99
2022-04-25,121.19
2022-04-26,122.41
2022-04-27,120.84
2022-04-28,121.02
2022-04-29,119.45
2022-04-30,119.45
2022-05-01,119.45
2022-05-02,117.18
2022-05-03,117.97
2022-05-04,118.62
2022-05-05,115.37
2022-05-06,113.67
2022-05-07,113.67
2022-05-08,113.67
2022-05-09,114.67
2022-05-10,115.71
2022-05-11,117.94
2022-05-12,117.72
2022-05-13,115.98
2022-05-14,115.98
2022-05-15,115.98
2022-05-16,115.86
2022-05-17,114.46
2022-05-18,116.9
2022-05-19,117.18
2022-05-20,118.51
2022-05-21,118.51
2022-05-22,118.51
2022-05-23,116.56
2022-05-24,118.86
2022-05-25,119.33
2022-05-26,118.79
2022-05-27,119.08
2022-05-28,119.08
2022-05-29,119.08
2022-05-30,119.08
2022-05-31,116.56
2022-06-01,116.22
2022-06-02,116.28
2022-06-03,116.03
2022-06-04,116.03
2022-06-05,116.03
2022-06-06,113.89
2022-06-07,115.12
2022-06-08,114.1
2022-06-09,114.48
2022-06-10,113.77
2022-06-11,113.77
2022-06-12,113.77
2022-06-13,110.2
2022-06-14,108.81
2022-06-15,110.84
2022-06-16,111.72
2022-06-17,112.08
2022-06-18,112.08
2022-06-19,112.08
2022-06-20,112.08
2022-06-21,110.18
2022-06-22,113.21
2022-06-23,114.14
2022-06-24,112.56
2022-06-25,112.56
2022-06-26,112.56
2022-06-27,111.6
2022-06-28,112.12
2022-06-29,113.87
2022-06-30,114.87
2022-07-01,115.82
2022-07-02,115.82
2022-07-03,115.82
2022-07-04,115.82
2022-07-05,116.73
2022-07-06,114.77
2022-07-07,113.76
2022-07-08,112.5
2022-07-09,112.5
2022-07-10,112.5
2022-07-11,114.44
2022-07-12,115.12
2022-07-13,116.44
2022-07-14,115.49
2022-07-15,116.14
2022-07-16,116.14
2022-07-17,116.14
2022-07-18,114.93
2022-07-19,114.31
2022-07-20,114.61
2022-07-21,116.59
2022-07-22,118.55
2022-07-23,118.55
2022-07-24,118.55
2022-07-25,117.39
2022-07-26,117.48
2022-07-27,116.82
2022-07-28,117.75
2022-07-29,117.43
2022-07-30,117.43
2022-07-31,117.43
2022-08-01,120.04
2022-08-02,117.5
2022-08-03,119.35
2022-08-04,119.31
2022-08-05,116.47
2022-08-06,116.47
2022-08-07,116.47
2022-08-08,118.35
2022-08-09,117.89
2022-08-10,117.12
2022-08-11,114.39
2022-08-12,115.55
2022-08-13,115.55
2022-08-14,115.55
2022-08-15,115.45
2022-08-16,115.93
2022-08-17,114.72
2022-08-18,114.89
2022-08-19,113.04
2022-08-20,113.04
2022-08-21,113.04
2022-08-22,112.66
2022-08-23,112.04
2022-08-24,111.22
2022-08-25,112.77
2022-08-26,113.62
2022-08-27,113.62
2022-08-28,113.62
2022-08-29,112.68
2022-08-30,112.96
2022-08-31,111.88
2022-09-01,109.6
2022-09-02,110.22
2022-09-03,110.22
2022-09-04,110.22
2022-09-05,110.22
2022-09-06,107.49
2022-09-07,109.19
2022-09-08,108.07
2022-09-09,108.31
2022-09-10,108.31
2022-09-11,108.31
2022-09-12,107.42
2022-09-13,107.67
2022-09-14,108.04
2022-09-15,107.97
2022-09-16,107.07
2022-09-17,107.07
2022-09-18,107.07
2022-09-19,107.32
2022-09-20,106.25
2022-09-21,108.03
2022-09-22,105.27
2022-09-23,105.7
2022-09-24,105.7
2022-09-25,105.7
2022-09-26,103.68
2022-09-27,100.95
2022-09-28,104.33
2022-09-29,103.79
2022-09-30,102.45
2022-10-01,102.45
2022-10-02,102.45
2022-10-03,103.83
2022-10-04,103.54
2022-10-05,102.55
2022-10-06,101.98
2022-10-07,100.99
2022-10-08,100.99
2022-10-09,100.99
2022-10-10,99.42
2022-10-11,99.86
2022-10-12,100.35
